HourNum	Date	O3Level	
780	20000202	0.026	
781	20000202	0.023	
782	20000202	0.02	
783	20000202	0.016	
784	20000202	0.021	
785	20000202	0.018	
786	20000202	0.015	
787	20000202	0.02	
788	20000203	0.021	
789	20000203	0.019	
790	20000203	0.018	
791	20000203	0.016	
792	20000203	0.014	
793	20000203	0.005	
794	20000203	0.003	
795	20000203	0.004	
796	20000203	0.009	
797	20000203	0.017	
798	20000203	0.022	
799	20000203	0.028	
800	20000203	0.024	
801	20000203	0.024	
802	20000203	0.024	
803	20000203	0.022	
804	20000203	0.018	
805	20000203	0.022	
806	20000203	0.022	
807	20000203	0.019	
808	20000203	0.019	
809	20000203	0.019	
810	20000203	0.015	
811	20000203	0.015	
812	20000204	0.011	
813	20000204	0.008	
814	20000204	0.011	
815	20000204	0.009	
816	20000204	0.006	
817	20000204	0.005	
818	20000204	0.003	
819	20000204	0.004	
820	20000204	0.009	
821	20000204	0.018	
822	20000204	0.025	
823	20000204	0.031	
824	20000204	0.031	
825	20000204	0.033	
826	20000204	0.031	
827	20000204	0.03	
828	20000204	0.026	
829	20000204	0.021	
830	20000204	0.011	
831	20000204	0.003	
832	20000204	0.003	
833	20000204	0.003	
834	20000204	0.003	
835	20000204	0.003	
836	20000205	0.003	
837	20000205	0.003	
838	20000205	0.003	
839	20000205	0.003	
840	20000205	0.004	
841	20000205	0.009	
842	20000205	0.011	
843	20000205	0.016	
844	20000205	0.019	
845	20000205	0.026	
846	20000205	0.032	
847	20000205	0.033	
848	20000205	0.033	
849	20000205	0.035	
850	20000205	0.034	
851	20000205	0.034	
852	20000205	0.031	
853	20000205	0.024	
854	20000205	0.02	
855	20000205	0.026	
856	20000205	0.021	
857	20000205	0.013	
858	20000205	0.007	
859	20000205	0.005	
860	20000206	0.003	
861	20000206	0.003	
862	20000206	0.003	
863	20000206	0.003	
864	20000206	0.003	
865	20000206	0.003	
866	20000206	0.003	
867	20000206	0.004	
868	20000206	0.013	
869	20000206	0.018	
870	20000206	0.026	
871	20000206	0.027	
872	20000206	0.028	
873	20000206	0.031	
874	20000206	0.032	
875	20000206	0.028	
876	20000206	0.023	
877	20000206	0.018	
878	20000206	0.018	
879	20000206	0.014	
880	20000206	0.011	
881	20000206	0.005	
882	20000206	0.003	
883	20000206	0.003	
884	20000207	0.003	
885	20000207	0.003	
886	20000207	0.003	
887	20000207	0.002	
888	20000207	0.002	
889	20000207	0.003	
890	20000207	0.005	
891	20000207	0.006	
892	20000207	0.008	
893	20000207	0.008	
894	20000207	0.013	
895	20000207	0.025	
896	20000207	0.031	
897	20000207	0.028	
898	20000207	0.028	
899	20000207	0.023	
900	20000207	0.018	
901	20000207	0.011	
902	20000207	0.004	
903	20000207	0.003	
904	20000207	0.003	
905	20000207	0.003	
906	20000207	0.003	
907	20000208	0.003	
908	20000208	0.003	
909	20000208	0.003	
910	20000208	0.003	
911	20000208	0.003	
912	20000208	0.004	
913	20000208	0.004	
914	20000208	0.004	
915	20000208	0.007	
916	20000208	0.025	
917	20000208	0.03	
918	20000208	0.031	
919	20000208	0.035	
920	20000208	0.034	
921	20000208	0.033	
922	20000208	0.033	
923	20000208	0.025	
924	20000208	0.015	
925	20000208	0.01	
926	20000208	0.007	
927	20000208	0.011	
928	20000208	0.013	
929	20000208	0.014	
930	20000208	0.019	
931	20000209	0.021	
932	20000209	0.02	
933	20000209	0.022	
934	20000209	0.022	
935	20000209	0.02	
936	20000209	0.016	
937	20000209	0.012	
938	20000209	0.011	
939	20000209	0.016	
940	20000209	0.022	
941	20000209	0.025	
942	20000209	0.027	
943	20000209	0.029	
944	20000209	0.027	
945	20000209	0.023	
946	20000209	0.015	
947	20000209	0.011	
948	20000209	0.005	
949	20000209	0.003	
950	20000209	0.003	
951	20000209	0.003	
952	20000209	0.003	
953	20000209	0.003	
954	20000209	0.003	
955	20000210	0.003	
956	20000210	0.002	
957	20000210	0.003	
958	20000210	0.003	
959	20000210	0.003	
960	20000210	0.003	
961	20000210	0.003	
962	20000210	0.003	
963	20000210	0.005	
964	20000210	0.007	
965	20000210	0.008	
966	20000210	0.009	
967	20000210	0.01	
968	20000210	0.006	
969	20000210	0.006	
970	20000210	0.005	
971	20000210	0.004	
972	20000210	0.003	
973	20000210	0.004	
974	20000210	0.012	
975	20000210	0.015	
976	20000210	0.017	
977	20000210	0.017	
978	20000210	0.014	
