HourNum	Date	O3Level
772	20000202	0.024
773	20000202	0.026
774	20000202	0.028
775	20000202	0.026
776	20000202	0.023
777	20000202	0.02
778	20000202	0.016
779	20000202	0.021
780	20000202	0.018
781	20000202	0.015
782	20000202	0.02
783	20000203	0.021
784	20000203	0.019
785	20000203	0.018
786	20000203	0.016
787	20000203	0.014
788	20000203	0.005
789	20000203	0.003
790	20000203	0.004
791	20000203	0.009
792	20000203	0.017
793	20000203	0.022
794	20000203	0.028
795	20000203	0.024
796	20000203	0.024
797	20000203	0.024
798	20000203	0.022
799	20000203	0.018
800	20000203	0.022
801	20000203	0.022
802	20000203	0.019
803	20000203	0.019
804	20000203	0.019
805	20000203	0.015
806	20000203	0.015
807	20000204	0.011
808	20000204	0.008
809	20000204	0.011
810	20000204	0.009
811	20000204	0.006
812	20000204	0.005
813	20000204	0.003
814	20000204	0.004
815	20000204	0.009
816	20000204	0.018
817	20000204	0.025
818	20000204	0.031
819	20000204	0.031
820	20000204	0.033
821	20000204	0.031
822	20000204	0.03
823	20000204	0.026
824	20000204	0.021
825	20000204	0.011
826	20000204	0.003
827	20000204	0.003
828	20000204	0.003
829	20000204	0.003
830	20000204	0.003
831	20000205	0.003
832	20000205	0.003
833	20000205	0.003
834	20000205	0.003
835	20000205	0.004
836	20000205	0.009
837	20000205	0.011
838	20000205	0.016
839	20000205	0.019
840	20000205	0.026
841	20000205	0.032
842	20000205	0.033
843	20000205	0.033
844	20000205	0.035
845	20000205	0.034
846	20000205	0.034
847	20000205	0.031
848	20000205	0.024
849	20000205	0.02
850	20000205	0.026
851	20000205	0.021
852	20000205	0.013
853	20000205	0.007
854	20000205	0.005
855	20000206	0.003
856	20000206	0.003
857	20000206	0.003
858	20000206	0.003
859	20000206	0.003
860	20000206	0.003
861	20000206	0.003
862	20000206	0.004
863	20000206	0.013
864	20000206	0.018
865	20000206	0.026
866	20000206	0.027
867	20000206	0.028
868	20000206	0.031
869	20000206	0.032
870	20000206	0.028
871	20000206	0.023
872	20000206	0.018
873	20000206	0.018
874	20000206	0.014
875	20000206	0.011
876	20000206	0.005
877	20000206	0.003
878	20000206	0.003
879	20000207	0.003
880	20000207	0.003
881	20000207	0.003
882	20000207	0.002
883	20000207	0.002
884	20000207	0.003
885	20000207	0.005
886	20000207	0.006
887	20000207	0.008
888	20000207	0.008
889	20000207	0.013
890	20000207	0.025
891	20000207	0.031
892	20000207	0.028
893	20000207	0.028
894	20000207	0.023
895	20000207	0.018
896	20000207	0.011
897	20000207	0.004
898	20000207	0.003
899	20000207	0.003
900	20000207	0.003
901	20000207	0.003
902	20000208	0.003
903	20000208	0.003
904	20000208	0.003
905	20000208	0.003
906	20000208	0.003
907	20000208	0.004
908	20000208	0.004
909	20000208	0.004
910	20000208	0.007
911	20000208	0.025
912	20000208	0.03
913	20000208	0.031
914	20000208	0.035
915	20000208	0.034
916	20000208	0.033
917	20000208	0.033
918	20000208	0.025
919	20000208	0.015
920	20000208	0.01
921	20000208	0.007
922	20000208	0.011
923	20000208	0.013
924	20000208	0.014
925	20000208	0.019
926	20000209	0.021
927	20000209	0.02
928	20000209	0.022
929	20000209	0.022
930	20000209	0.02
931	20000209	0.016
932	20000209	0.012
933	20000209	0.011
934	20000209	0.016
935	20000209	0.022
936	20000209	0.025
937	20000209	0.027
938	20000209	0.029
939	20000209	0.027
940	20000209	0.023
941	20000209	0.015
942	20000209	0.011
943	20000209	0.005
944	20000209	0.003
945	20000209	0.003
946	20000209	0.003
947	20000209	0.003
948	20000209	0.003
949	20000209	0.003
950	20000210	0.003
951	20000210	0.002
952	20000210	0.003
953	20000210	0.003
954	20000210	0.003
955	20000210	0.003
956	20000210	0.003
957	20000210	0.003
958	20000210	0.005
959	20000210	0.007
960	20000210	0.008
961	20000210	0.009
962	20000210	0.01
963	20000210	0.006
964	20000210	0.006
965	20000210	0.005
966	20000210	0.004
967	20000210	0.003
968	20000210	0.004
969	20000210	0.012
970	20000210	0.015
971	20000210	0.017
972	20000210	0.017
973	20000210	0.014
974	20000211	0.02
975	20000211	0.025
976	20000211	0.025
977	20000211	0.026
978	20000211	0.026
979	20000211	0.024
980	20000211	0.019
981	20000211	0.015
982	20000211	0.016
983	20000211	0.018
984	20000211	0.023
985	20000211	0.027
986	20000211	0.028
987	20000211	0.03
988	20000211	0.026
989	20000211	0.021
990	20000211	0.017
991	20000211	0.011
992	20000211	0.009
993	20000211	0.008
994	20000211	0.011
995	20000211	0.009
996	20000211	0.011
997	20000211	0.008
998	20000212	0.004
999	20000212	0.003
1000	20000212	0.003
1001	20000212	0.003
1002	20000212	0.003
1003	20000212	0.003
1004	20000212	0.003
1005	20000212	0.005
1006	20000212	0.012
1007	20000212	0.021
1008	20000212	0.03
1009	20000212	0.034
1010	20000212	0.039
1011	20000212	0.04
1012	20000212	0.039
1013	20000212	0.036
1014	20000212	0.032
1015	20000212	0.026
1016	20000212	0.02
1017	20000212	0.014
1018	20000212	0.017
1019	20000212	0.02
1020	20000212	0.019
1021	20000212	0.016
1022	20000213	0.014
1023	20000213	0.011
1024	20000213	0.013
1025	20000213	0.009
1026	20000213	0.005
1027	20000213	0.004
1028	20000213	0.004
1029	20000213	0.005
1030	20000213	0.005
1031	20000213	0.006
1032	20000213	0.007
1033	20000213	0.01
1034	20000213	0.011
1035	20000213	0.012
1036	20000213	0.014
1037	20000213	0.016
1038	20000213	0.013
1039	20000213	0.013
1040	20000213	0.013
1041	20000213	0.016
1042	20000213	0.019
1043	20000213	0.016
1044	20000213	0.011
1045	20000213	0.016
1046	20000214	0.02
1047	20000214	0.018
1048	20000214	0.017
1049	20000214	0.016
1050	20000214	0.02
1051	20000214	0.028
1052	20000214	0.024
1053	20000214	0.019
1054	20000214	0.004
1055	20000214	0.01
1056	20000214	0.016
1057	20000214	0.016
1058	20000214	0.015
1059	20000214	0.021
1060	20000214	0.021
1061	20000214	0.023
1062	20000214	0.029
1063	20000214	0.022
1064	20000214	0.009
1065	20000214	0.005
1066	20000214	0.004
1067	20000214	0.003
1068	20000214	0.003
1069	20000214	0.003
1070	20000215	0.003
1071	20000215	0.003
1072	20000215	0.005
1073	20000215	0.003
1074	20000215	0.003
1075	20000215	0.004
1076	20000215	0.004
1077	20000215	0.005
1078	20000215	0.01
1079	20000215	0.016
1080	20000215	0.022
1081	20000215	0.024
1082	20000215	0.022
1083	20000215	0.021
1084	20000215	0.019
1085	20000215	0.016
1086	20000215	0.012
1087	20000215	0.005
1088	20000215	0.004
1089	20000215	0.006
1090	20000215	0.011
1091	20000215	0.013
1092	20000215	0.011
1093	20000215	0.018
1094	20000216	0.02
1095	20000216	0.018
1096	20000216	0.015
1097	20000216	0.017
1098	20000216	0.018
1099	20000216	0.026
1100	20000216	0.027
1101	20000216	0.023
1102	20000216	0.024
1103	20000216	0.027
1104	20000216	0.028
1105	20000216	0.027
1106	20000216	0.029
1107	20000216	0.028
1108	20000216	0.026
1109	20000216	0.024
1110	20000216	0.012
1111	20000216	0.005
1112	20000216	0.003
1113	20000216	0.003
1114	20000216	0.003
1115	20000216	0.003
1116	20000216	0.004
1117	20000216	0.004
1118	20000217	0.004
1119	20000217	0.004
1120	20000217	0.005
1121	20000217	0.003
1122	20000217	0.003
1123	20000217	0.003
1124	20000217	0.003
1125	20000217	0.005
1126	20000217	0.014
1127	20000217	0.015
1128	20000217	0.017
1129	20000217	0.03
1130	20000217	0.027
1131	20000217	0.019
1132	20000217	0.017
1133	20000217	0.013
1134	20000217	0.017
1135	20000217	0.017
1136	20000217	0.018
1137	20000217	0.012
1138	20000217	0.006
1139	20000217	0.018
1140	20000217	0.021
1141	20000218	0.019
1142	20000218	0.023
1143	20000218	0.011
1144	20000218	0.008
1145	20000218	0.015
1146	20000218	0.019
1147	20000218	0.018
1148	20000218	0.015
1149	20000218	0.017
